+--------------------------------+------------+---------------+-------------+-------------------------------+-----------+-----------------+
|         DDL Definition         |  ct.Name   | ct.DBTypeName | ct.Nullable |        ct.DecimalSize         | ct.Length |   ct.ScanType   |
+--------------------------------+------------+---------------+-------------+-------------------------------+-----------+-----------------+
| column_0 BIT                   | column_0   | BIT           | false       | -                             | -         | sql.RawBytes    |
| column_1 BIT (8)               | column_1   | BIT           | true        | -                             | -         | sql.RawBytes    |
| column_2 TINYINT               | column_2   | TINYINT       | true        | -                             | -         | sql.NullInt64   |
| column_3 TINYINT UNSIGNED      | column_3   | TINYINT       | true        | -                             | -         | sql.NullInt64   |
| column_4 BOOL                  | column_4   | TINYINT       | true        | -                             | -         | sql.NullInt64   |
| column_5 BOOLEAN               | column_5   | TINYINT       | true        | -                             | -         | sql.NullInt64   |
| column_6 SMALLINT              | column_6   | SMALLINT      | true        | -                             | -         | sql.NullInt64   |
| column_7 SMALLINT UNSIGNED     | column_7   | SMALLINT      | true        | -                             | -         | sql.NullInt64   |
| column_8 MEDIUMINT             | column_8   | MEDIUMINT     | true        | -                             | -         | sql.NullInt64   |
| column_9 MEDIUMINT UNSIGNED    | column_9   | MEDIUMINT     | true        | -                             | -         | sql.NullInt64   |
| column_10 INT                  | column_10  | INT           | true        | -                             | -         | sql.NullInt64   |
| column_11 INT UNSIGNED         | column_11  | INT           | true        | -                             | -         | sql.NullInt64   |
| column_12 INTEGER              | column_12  | INT           | true        | -                             | -         | sql.NullInt64   |
| column_13 INTEGER UNSIGNED     | column_13  | INT           | true        | -                             | -         | sql.NullInt64   |
| column_14 BIGINT               | column_14  | BIGINT        | true        | -                             | -         | sql.NullInt64   |
| column_15 BIGINT UNSIGNED      | column_15  | BIGINT        | true        | -                             | -         | sql.NullInt64   |
| column_16 DECIMAL              | column_16  | DECIMAL       | true        | (10,0)                        | -         | sql.RawBytes    |
| column_17 DECIMAL UNSIGNED     | column_17  | DECIMAL       | true        | (9,0)                         | -         | sql.RawBytes    |
| column_18 DECIMAL (8,4)        | column_18  | DECIMAL       | true        | (8,4)                         | -         | sql.RawBytes    |
| column_19 DECIMAL (8,4)        | column_19  | DECIMAL       | true        | (7,4)                         | -         | sql.RawBytes    |
| UNSIGNED                       |            |               |             |                               |           |                 |
| column_20 DEC                  | column_20  | DECIMAL       | true        | (10,0)                        | -         | sql.RawBytes    |
| column_21 DEC UNSIGNED         | column_21  | DECIMAL       | true        | (9,0)                         | -         | sql.RawBytes    |
| column_22 DEC (8,4)            | column_22  | DECIMAL       | true        | (8,4)                         | -         | sql.RawBytes    |
| column_23 DEC (8,4) UNSIGNED   | column_23  | DECIMAL       | true        | (7,4)                         | -         | sql.RawBytes    |
| column_24 NUMERIC              | column_24  | DECIMAL       | true        | (10,0)                        | -         | sql.RawBytes    |
| column_25 NUMERIC UNSIGNED     | column_25  | DECIMAL       | true        | (9,0)                         | -         | sql.RawBytes    |
| column_26 NUMERIC (8,4)        | column_26  | DECIMAL       | true        | (8,4)                         | -         | sql.RawBytes    |
| column_27 NUMERIC (8,4)        | column_27  | DECIMAL       | true        | (7,4)                         | -         | sql.RawBytes    |
| UNSIGNED                       |            |               |             |                               |           |                 |
| column_28 FIXED                | column_28  | DECIMAL       | true        | (10,0)                        | -         | sql.RawBytes    |
| column_29 FIXED UNSIGNED       | column_29  | DECIMAL       | true        | (9,0)                         | -         | sql.RawBytes    |
| column_30 FIXED (8,4)          | column_30  | DECIMAL       | true        | (8,4)                         | -         | sql.RawBytes    |
| column_31 FIXED (8,4) UNSIGNED | column_31  | DECIMAL       | true        | (7,4)                         | -         | sql.RawBytes    |
| column_32 FLOAT                | column_32  | FLOAT         | true        | (math.MaxInt64,math.MaxInt64) | -         | sql.NullFloat64 |
